"Staphylococcus epidermidis ATCC 12228 chromosome, complete genome",ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/007/645/GCF_000007645.1_ASM764v1/GCF_000007645.1_ASM764v1_genomic.fna.gz
"Neisseria meningitidis MC58 chromosome, complete genome",ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/008/805/GCF_000008805.1_ASM880v1/GCF_000008805.1_ASM880v1_genomic.fna.gz
"Staphylococcus aureus subsp. aureus NCTC 8325 chromosome, complete genome",ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/013/425/GCF_000013425.1_ASM1342v1/GCF_000013425.1_ASM1342v1_genomic.fna.gz
"Streptococcus mitis B6, complete genome",ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/027/165/GCF_000027165.1_ASM2716v1/GCF_000027165.1_ASM2716v1_genomic.fna.gz
"Lactobacillus crispatus ST1 complete genome, strain ST1",ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/091/765/GCF_000091765.1_ASM9176v1/GCF_000091765.1_ASM9176v1_genomic.fna.gz
"Escherichia coli O104:H4 str. 2011C-3493 chromosome, complete genome",ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/299/455/GCF_000299455.1_ASM29945v1/GCF_000299455.1_ASM29945v1_genomic.fna.gz
"Escherichia coli str. K-12 substr. MG1655, complete genome",ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/005/845/GCF_000005845.2_ASM584v2/GCF_000005845.2_ASM584v2_genomic.fna.gz
"Escherichia coli str. K-12 substr. MG1655, complete genome",ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/005/845/GCF_000005845.2_ASM584v2/GCF_000005845.2_ASM584v2_genomic.fna.gz
"Helicobacter pylori 26695 chromosome, complete genome",ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/008/525/GCF_000008525.1_ASM852v1/GCF_000008525.1_ASM852v1_genomic.fna.gz
"Peptoclostridium difficile 630, complete genome",ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/009/205/GCF_000009205.1_ASM920v1/GCF_000009205.1_ASM920v1_genomic.fna.gz
"Candidatus Arthromitus sp. SFB-mouse-Japan DNA, complete genome",ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/270/205/GCF_000270205.1_ASM27020v1/GCF_000270205.1_ASM27020v1_genomic.fna.gz
"Corynebacterium sp. JCB WGS project CBYN000000000 data, whole genome shotgun sequence",ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/577/555/GCF_000577555.1_JCB/GCF_000577555.1_JCB_genomic.fna.gz
